214.6379 	EXP 	window1: recordFrameIntervals = False
215.6368 	EXP 	polygon: autoDraw = True
216.6373 	EXP 	polygon: autoDraw = False
216.6373 	EXP 	grating: autoDraw = True
216.6373 	EXP 	grating: tex = 'sin'
216.9377 	EXP 	grating: autoDraw = False
217.0399 	EXP 	window1: recordFrameIntervals = False
217.0409 	DATA 	Keypress: left
217.0544 	EXP 	polygon: autoDraw = False
217.0544 	EXP 	grating: autoDraw = False
217.0546 	EXP 	window1: recordFrameIntervals = False
218.0533 	EXP 	polygon: autoDraw = True
219.0383 	EXP 	grating: autoDraw = True
219.0383 	EXP 	grating: tex = 'sin'
219.0554 	EXP 	polygon: autoDraw = False
219.3383 	EXP 	grating: autoDraw = False
219.4581 	DATA 	Keypress: left
219.4749 	EXP 	window1: recordFrameIntervals = False
219.4882 	EXP 	polygon: autoDraw = False
219.4882 	EXP 	grating: autoDraw = False
219.4884 	EXP 	window1: recordFrameIntervals = False
220.4873 	EXP 	polygon: autoDraw = True
221.4894 	EXP 	polygon: autoDraw = False
221.4894 	EXP 	grating: autoDraw = True
221.4894 	EXP 	grating: tex = 'sin'
221.7891 	EXP 	grating: autoDraw = False
221.9409 	EXP 	window1: recordFrameIntervals = False
221.9419 	DATA 	Keypress: left
221.9557 	EXP 	polygon: autoDraw = False
221.9557 	EXP 	grating: autoDraw = False
221.9559 	EXP 	window1: recordFrameIntervals = False
222.9550 	EXP 	polygon: autoDraw = True
223.9406 	EXP 	grating: autoDraw = True
223.9406 	EXP 	grating: tex = 'sin'
223.9578 	EXP 	polygon: autoDraw = False
224.2404 	EXP 	grating: autoDraw = False
224.3259 	EXP 	window1: recordFrameIntervals = False
224.3269 	DATA 	Keypress: left
224.3409 	EXP 	polygon: autoDraw = False
224.3409 	EXP 	grating: autoDraw = False
224.3411 	EXP 	window1: recordFrameIntervals = False
225.3397 	EXP 	polygon: autoDraw = True
226.3403 	EXP 	polygon: autoDraw = False
226.3403 	EXP 	grating: autoDraw = True
226.3403 	EXP 	grating: tex = 'sin'
226.6407 	EXP 	grating: autoDraw = False
226.9091 	EXP 	window1: recordFrameIntervals = False
226.9101 	DATA 	Keypress: right
226.9239 	EXP 	polygon: autoDraw = False
226.9239 	EXP 	grating: autoDraw = False
